CMS		mac single hex	mac proper	dhcpd.apollo	IP hex	ip dec	edf.zone	edf.rev	ipmc command
3001	eth0	80D336013D90	80:D3:36:01:3D:90	host apollo3001-0 {hardware ethernet 80:D3:36:01:3D:90; fixed-address apollo3001-0.edf.lo;}	C0A82400	192.168.36.0	apollo3001-0 IN A 192.168.36.0	0 IN PTR apollo3001-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 90
	eth1	80D336013D91	80:D3:36:01:3D:91	host apollo3001-1 {hardware ethernet 80:D3:36:01:3D:91; fixed-address apollo3001-1.edf.lo;}	C0A82401	192.168.36.1	apollo3001-1 IN A 192.168.36.1	1 IN PTR apollo3001-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 91
	ipmc	80D336013D92	80:D3:36:01:3D:92	host ipmc3001 {hardware ethernet 80:D3:36:01:3D:92; fixed-address ipmc3001.edf.lo;}	C0A82402	192.168.36.2	ipmc3001 IN A 192.168.36.2	2 IN PTR ipmc3001.edf.lo.	ethmacwr 2 80 D3 36 01 3D 92
3002	eth0	80D336013D93	80:D3:36:01:3D:93	host apollo3002-0 {hardware ethernet 80:D3:36:01:3D:93; fixed-address apollo3002-0.edf.lo;}	C0A82403	192.168.36.3	apollo3002-0 IN A 192.168.36.3	3 IN PTR apollo3002-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 93
	eth1	80D336013D94	80:D3:36:01:3D:94	host apollo3002-1 {hardware ethernet 80:D3:36:01:3D:94; fixed-address apollo3002-1.edf.lo;}	C0A82404	192.168.36.4	apollo3002-1 IN A 192.168.36.4	4 IN PTR apollo3002-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 94
	ipmc	80D336013D95	80:D3:36:01:3D:95	host ipmc3002 {hardware ethernet 80:D3:36:01:3D:95; fixed-address ipmc3002.edf.lo;}	C0A82405	192.168.36.5	ipmc3002 IN A 192.168.36.5	5 IN PTR ipmc3002.edf.lo.	ethmacwr 2 80 D3 36 01 3D 95
3003	eth0	80D336013D96	80:D3:36:01:3D:96	host apollo3003-0 {hardware ethernet 80:D3:36:01:3D:96; fixed-address apollo3003-0.edf.lo;}	C0A82406	192.168.36.6	apollo3003-0 IN A 192.168.36.6	6 IN PTR apollo3003-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 96
	eth1	80D336013D97	80:D3:36:01:3D:97	host apollo3003-1 {hardware ethernet 80:D3:36:01:3D:97; fixed-address apollo3003-1.edf.lo;}	C0A82407	192.168.36.7	apollo3003-1 IN A 192.168.36.7	7 IN PTR apollo3003-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 97
	ipmc	80D336013D98	80:D3:36:01:3D:98	host ipmc3003 {hardware ethernet 80:D3:36:01:3D:98; fixed-address ipmc3003.edf.lo;}	C0A82408	192.168.36.8	ipmc3003 IN A 192.168.36.8	8 IN PTR ipmc3003.edf.lo.	ethmacwr 2 80 D3 36 01 3D 98
3004	eth0	80D336013D99	80:D3:36:01:3D:99	host apollo3004-0 {hardware ethernet 80:D3:36:01:3D:99; fixed-address apollo3004-0.edf.lo;}	C0A82409	192.168.36.9	apollo3004-0 IN A 192.168.36.9	9 IN PTR apollo3004-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 99
	eth1	80D336013D9A	80:D3:36:01:3D:9A	host apollo3004-1 {hardware ethernet 80:D3:36:01:3D:9A; fixed-address apollo3004-1.edf.lo;}	C0A8240A	192.168.36.10	apollo3004-1 IN A 192.168.36.10	10 IN PTR apollo3004-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 9A
	ipmc	80D336013D9B	80:D3:36:01:3D:9B	host ipmc3004 {hardware ethernet 80:D3:36:01:3D:9B; fixed-address ipmc3004.edf.lo;}	C0A8240B	192.168.36.11	ipmc3004 IN A 192.168.36.11	11 IN PTR ipmc3004.edf.lo.	ethmacwr 2 80 D3 36 01 3D 9B
3005	eth0	80D336013D9C	80:D3:36:01:3D:9C	host apollo3005-0 {hardware ethernet 80:D3:36:01:3D:9C; fixed-address apollo3005-0.edf.lo;}	C0A8240C	192.168.36.12	apollo3005-0 IN A 192.168.36.12	12 IN PTR apollo3005-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 9C
	eth1	80D336013D9D	80:D3:36:01:3D:9D	host apollo3005-1 {hardware ethernet 80:D3:36:01:3D:9D; fixed-address apollo3005-1.edf.lo;}	C0A8240D	192.168.36.13	apollo3005-1 IN A 192.168.36.13	13 IN PTR apollo3005-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D 9D
	ipmc	80D336013D9E	80:D3:36:01:3D:9E	host ipmc3005 {hardware ethernet 80:D3:36:01:3D:9E; fixed-address ipmc3005.edf.lo;}	C0A8240E	192.168.36.14	ipmc3005 IN A 192.168.36.14	14 IN PTR ipmc3005.edf.lo.	ethmacwr 2 80 D3 36 01 3D 9E
3006	eth0	80D336013D9F	80:D3:36:01:3D:9F	host apollo3006-0 {hardware ethernet 80:D3:36:01:3D:9F; fixed-address apollo3006-0.edf.lo;}	C0A8240F	192.168.36.15	apollo3006-0 IN A 192.168.36.15	15 IN PTR apollo3006-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D 9F
	eth1	80D336013DA0	80:D3:36:01:3D:A0	host apollo3006-1 {hardware ethernet 80:D3:36:01:3D:A0; fixed-address apollo3006-1.edf.lo;}	C0A82410	192.168.36.16	apollo3006-1 IN A 192.168.36.16	16 IN PTR apollo3006-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D A0
	ipmc	80D336013DA1	80:D3:36:01:3D:A1	host ipmc3006 {hardware ethernet 80:D3:36:01:3D:A1; fixed-address ipmc3006.edf.lo;}	C0A82411	192.168.36.17	ipmc3006 IN A 192.168.36.17	17 IN PTR ipmc3006.edf.lo.	ethmacwr 2 80 D3 36 01 3D A1
3007	eth0	80D336013DA2	80:D3:36:01:3D:A2	host apollo3007-0 {hardware ethernet 80:D3:36:01:3D:A2; fixed-address apollo3007-0.edf.lo;}	C0A82412	192.168.36.18	apollo3007-0 IN A 192.168.36.18	18 IN PTR apollo3007-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D A2
	eth1	80D336013DA3	80:D3:36:01:3D:A3	host apollo3007-1 {hardware ethernet 80:D3:36:01:3D:A3; fixed-address apollo3007-1.edf.lo;}	C0A82413	192.168.36.19	apollo3007-1 IN A 192.168.36.19	19 IN PTR apollo3007-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D A3
	ipmc	80D336013DA4	80:D3:36:01:3D:A4	host ipmc3007 {hardware ethernet 80:D3:36:01:3D:A4; fixed-address ipmc3007.edf.lo;}	C0A82414	192.168.36.20	ipmc3007 IN A 192.168.36.20	20 IN PTR ipmc3007.edf.lo.	ethmacwr 2 80 D3 36 01 3D A4
3008	eth0	80D336013DA5	80:D3:36:01:3D:A5	host apollo3008-0 {hardware ethernet 80:D3:36:01:3D:A5; fixed-address apollo3008-0.edf.lo;}	C0A82415	192.168.36.21	apollo3008-0 IN A 192.168.36.21	21 IN PTR apollo3008-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D A5
	eth1	80D336013DA6	80:D3:36:01:3D:A6	host apollo3008-1 {hardware ethernet 80:D3:36:01:3D:A6; fixed-address apollo3008-1.edf.lo;}	C0A82416	192.168.36.22	apollo3008-1 IN A 192.168.36.22	22 IN PTR apollo3008-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D A6
	ipmc	80D336013DA7	80:D3:36:01:3D:A7	host ipmc3008 {hardware ethernet 80:D3:36:01:3D:A7; fixed-address ipmc3008.edf.lo;}	C0A82417	192.168.36.23	ipmc3008 IN A 192.168.36.23	23 IN PTR ipmc3008.edf.lo.	ethmacwr 2 80 D3 36 01 3D A7
3009	eth0	80D336013DA8	80:D3:36:01:3D:A8	host apollo3009-0 {hardware ethernet 80:D3:36:01:3D:A8; fixed-address apollo3009-0.edf.lo;}	C0A82418	192.168.36.24	apollo3009-0 IN A 192.168.36.24	24 IN PTR apollo3009-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D A8
	eth1	80D336013DA9	80:D3:36:01:3D:A9	host apollo3009-1 {hardware ethernet 80:D3:36:01:3D:A9; fixed-address apollo3009-1.edf.lo;}	C0A82419	192.168.36.25	apollo3009-1 IN A 192.168.36.25	25 IN PTR apollo3009-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D A9
	ipmc	80D336013DAA	80:D3:36:01:3D:AA	host ipmc3009 {hardware ethernet 80:D3:36:01:3D:AA; fixed-address ipmc3009.edf.lo;}	C0A8241A	192.168.36.26	ipmc3009 IN A 192.168.36.26	26 IN PTR ipmc3009.edf.lo.	ethmacwr 2 80 D3 36 01 3D AA
3010	eth0	80D336013DAB	80:D3:36:01:3D:AB	host apollo3010-0 {hardware ethernet 80:D3:36:01:3D:AB; fixed-address apollo3010-0.edf.lo;}	C0A8241B	192.168.36.27	apollo3010-0 IN A 192.168.36.27	27 IN PTR apollo3010-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D AB
	eth1	80D336013DAC	80:D3:36:01:3D:AC	host apollo3010-1 {hardware ethernet 80:D3:36:01:3D:AC; fixed-address apollo3010-1.edf.lo;}	C0A8241C	192.168.36.28	apollo3010-1 IN A 192.168.36.28	28 IN PTR apollo3010-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D AC
	ipmc	80D336013DAD	80:D3:36:01:3D:AD	host ipmc3010 {hardware ethernet 80:D3:36:01:3D:AD; fixed-address ipmc3010.edf.lo;}	C0A8241D	192.168.36.29	ipmc3010 IN A 192.168.36.29	29 IN PTR ipmc3010.edf.lo.	ethmacwr 2 80 D3 36 01 3D AD
3011	eth0	80D336013DAE	80:D3:36:01:3D:AE	host apollo3011-0 {hardware ethernet 80:D3:36:01:3D:AE; fixed-address apollo3011-0.edf.lo;}	C0A8241E	192.168.36.30	apollo3011-0 IN A 192.168.36.30	30 IN PTR apollo3011-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D AE
	eth1	80D336013DAF	80:D3:36:01:3D:AF	host apollo3011-1 {hardware ethernet 80:D3:36:01:3D:AF; fixed-address apollo3011-1.edf.lo;}	C0A8241F	192.168.36.31	apollo3011-1 IN A 192.168.36.31	31 IN PTR apollo3011-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D AF
	ipmc	80D336013DB0	80:D3:36:01:3D:B0	host ipmc3011 {hardware ethernet 80:D3:36:01:3D:B0; fixed-address ipmc3011.edf.lo;}	C0A82420	192.168.36.32	ipmc3011 IN A 192.168.36.32	32 IN PTR ipmc3011.edf.lo.	ethmacwr 2 80 D3 36 01 3D B0
3012	eth0	80D336013DB1	80:D3:36:01:3D:B1	host apollo3012-0 {hardware ethernet 80:D3:36:01:3D:B1; fixed-address apollo3012-0.edf.lo;}	C0A82421	192.168.36.33	apollo3012-0 IN A 192.168.36.33	33 IN PTR apollo3012-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D B1
	eth1	80D336013DB2	80:D3:36:01:3D:B2	host apollo3012-1 {hardware ethernet 80:D3:36:01:3D:B2; fixed-address apollo3012-1.edf.lo;}	C0A82422	192.168.36.34	apollo3012-1 IN A 192.168.36.34	34 IN PTR apollo3012-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D B2
	ipmc	80D336013DB3	80:D3:36:01:3D:B3	host ipmc3012 {hardware ethernet 80:D3:36:01:3D:B3; fixed-address ipmc3012.edf.lo;}	C0A82423	192.168.36.35	ipmc3012 IN A 192.168.36.35	35 IN PTR ipmc3012.edf.lo.	ethmacwr 2 80 D3 36 01 3D B3
3013	eth0	80D336013DB4	80:D3:36:01:3D:B4	host apollo3013-0 {hardware ethernet 80:D3:36:01:3D:B4; fixed-address apollo3013-0.edf.lo;}	C0A82424	192.168.36.36	apollo3013-0 IN A 192.168.36.36	36 IN PTR apollo3013-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D B4
	eth1	80D336013DB5	80:D3:36:01:3D:B5	host apollo3013-1 {hardware ethernet 80:D3:36:01:3D:B5; fixed-address apollo3013-1.edf.lo;}	C0A82425	192.168.36.37	apollo3013-1 IN A 192.168.36.37	37 IN PTR apollo3013-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D B5
	ipmc	80D336013DB6	80:D3:36:01:3D:B6	host ipmc3013 {hardware ethernet 80:D3:36:01:3D:B6; fixed-address ipmc3013.edf.lo;}	C0A82426	192.168.36.38	ipmc3013 IN A 192.168.36.38	38 IN PTR ipmc3013.edf.lo.	ethmacwr 2 80 D3 36 01 3D B6
3014	eth0	80D336013DB7	80:D3:36:01:3D:B7	host apollo3014-0 {hardware ethernet 80:D3:36:01:3D:B7; fixed-address apollo3014-0.edf.lo;}	C0A82427	192.168.36.39	apollo3014-0 IN A 192.168.36.39	39 IN PTR apollo3014-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D B7
	eth1	80D336013DB8	80:D3:36:01:3D:B8	host apollo3014-1 {hardware ethernet 80:D3:36:01:3D:B8; fixed-address apollo3014-1.edf.lo;}	C0A82428	192.168.36.40	apollo3014-1 IN A 192.168.36.40	40 IN PTR apollo3014-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D B8
	ipmc	80D336013DB9	80:D3:36:01:3D:B9	host ipmc3014 {hardware ethernet 80:D3:36:01:3D:B9; fixed-address ipmc3014.edf.lo;}	C0A82429	192.168.36.41	ipmc3014 IN A 192.168.36.41	41 IN PTR ipmc3014.edf.lo.	ethmacwr 2 80 D3 36 01 3D B9
3015	eth0	80D336013DBA	80:D3:36:01:3D:BA	host apollo3015-0 {hardware ethernet 80:D3:36:01:3D:BA; fixed-address apollo3015-0.edf.lo;}	C0A8242A	192.168.36.42	apollo3015-0 IN A 192.168.36.42	42 IN PTR apollo3015-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D BA
	eth1	80D336013DBB	80:D3:36:01:3D:BB	host apollo3015-1 {hardware ethernet 80:D3:36:01:3D:BB; fixed-address apollo3015-1.edf.lo;}	C0A8242B	192.168.36.43	apollo3015-1 IN A 192.168.36.43	43 IN PTR apollo3015-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D BB
	ipmc	80D336013DBC	80:D3:36:01:3D:BC	host ipmc3015 {hardware ethernet 80:D3:36:01:3D:BC; fixed-address ipmc3015.edf.lo;}	C0A8242C	192.168.36.44	ipmc3015 IN A 192.168.36.44	44 IN PTR ipmc3015.edf.lo.	ethmacwr 2 80 D3 36 01 3D BC
3016	eth0	80D336013DBD	80:D3:36:01:3D:BD	host apollo3016-0 {hardware ethernet 80:D3:36:01:3D:BD; fixed-address apollo3016-0.edf.lo;}	C0A8242D	192.168.36.45	apollo3016-0 IN A 192.168.36.45	45 IN PTR apollo3016-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D BD
	eth1	80D336013DBE	80:D3:36:01:3D:BE	host apollo3016-1 {hardware ethernet 80:D3:36:01:3D:BE; fixed-address apollo3016-1.edf.lo;}	C0A8242E	192.168.36.46	apollo3016-1 IN A 192.168.36.46	46 IN PTR apollo3016-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D BE
	ipmc	80D336013DBF	80:D3:36:01:3D:BF	host ipmc3016 {hardware ethernet 80:D3:36:01:3D:BF; fixed-address ipmc3016.edf.lo;}	C0A8242F	192.168.36.47	ipmc3016 IN A 192.168.36.47	47 IN PTR ipmc3016.edf.lo.	ethmacwr 2 80 D3 36 01 3D BF
3017	eth0	80D336013DC0	80:D3:36:01:3D:C0	host apollo3017-0 {hardware ethernet 80:D3:36:01:3D:C0; fixed-address apollo3017-0.edf.lo;}	C0A82430	192.168.36.48	apollo3017-0 IN A 192.168.36.48	48 IN PTR apollo3017-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D C0
	eth1	80D336013DC1	80:D3:36:01:3D:C1	host apollo3017-1 {hardware ethernet 80:D3:36:01:3D:C1; fixed-address apollo3017-1.edf.lo;}	C0A82431	192.168.36.49	apollo3017-1 IN A 192.168.36.49	49 IN PTR apollo3017-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D C1
	ipmc	80D336013DC2	80:D3:36:01:3D:C2	host ipmc3017 {hardware ethernet 80:D3:36:01:3D:C2; fixed-address ipmc3017.edf.lo;}	C0A82432	192.168.36.50	ipmc3017 IN A 192.168.36.50	50 IN PTR ipmc3017.edf.lo.	ethmacwr 2 80 D3 36 01 3D C2
3018	eth0	80D336013DC3	80:D3:36:01:3D:C3	host apollo3018-0 {hardware ethernet 80:D3:36:01:3D:C3; fixed-address apollo3018-0.edf.lo;}	C0A82433	192.168.36.51	apollo3018-0 IN A 192.168.36.51	51 IN PTR apollo3018-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D C3
	eth1	80D336013DC4	80:D3:36:01:3D:C4	host apollo3018-1 {hardware ethernet 80:D3:36:01:3D:C4; fixed-address apollo3018-1.edf.lo;}	C0A82434	192.168.36.52	apollo3018-1 IN A 192.168.36.52	52 IN PTR apollo3018-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D C4
	ipmc	80D336013DC5	80:D3:36:01:3D:C5	host ipmc3018 {hardware ethernet 80:D3:36:01:3D:C5; fixed-address ipmc3018.edf.lo;}	C0A82435	192.168.36.53	ipmc3018 IN A 192.168.36.53	53 IN PTR ipmc3018.edf.lo.	ethmacwr 2 80 D3 36 01 3D C5
3019	eth0	80D336013DC6	80:D3:36:01:3D:C6	host apollo3019-0 {hardware ethernet 80:D3:36:01:3D:C6; fixed-address apollo3019-0.edf.lo;}	C0A82436	192.168.36.54	apollo3019-0 IN A 192.168.36.54	54 IN PTR apollo3019-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D C6
	eth1	80D336013DC7	80:D3:36:01:3D:C7	host apollo3019-1 {hardware ethernet 80:D3:36:01:3D:C7; fixed-address apollo3019-1.edf.lo;}	C0A82437	192.168.36.55	apollo3019-1 IN A 192.168.36.55	55 IN PTR apollo3019-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D C7
	ipmc	80D336013DC8	80:D3:36:01:3D:C8	host ipmc3019 {hardware ethernet 80:D3:36:01:3D:C8; fixed-address ipmc3019.edf.lo;}	C0A82438	192.168.36.56	ipmc3019 IN A 192.168.36.56	56 IN PTR ipmc3019.edf.lo.	ethmacwr 2 80 D3 36 01 3D C8
3020	eth0	80D336013DC9	80:D3:36:01:3D:C9	host apollo3020-0 {hardware ethernet 80:D3:36:01:3D:C9; fixed-address apollo3020-0.edf.lo;}	C0A82439	192.168.36.57	apollo3020-0 IN A 192.168.36.57	57 IN PTR apollo3020-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D C9
	eth1	80D336013DCA	80:D3:36:01:3D:CA	host apollo3020-1 {hardware ethernet 80:D3:36:01:3D:CA; fixed-address apollo3020-1.edf.lo;}	C0A8243A	192.168.36.58	apollo3020-1 IN A 192.168.36.58	58 IN PTR apollo3020-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D CA
	ipmc	80D336013DCB	80:D3:36:01:3D:CB	host ipmc3020 {hardware ethernet 80:D3:36:01:3D:CB; fixed-address ipmc3020.edf.lo;}	C0A8243B	192.168.36.59	ipmc3020 IN A 192.168.36.59	59 IN PTR ipmc3020.edf.lo.	ethmacwr 2 80 D3 36 01 3D CB
