CMS		mac single hex	mac proper	dhcpd.apollo	IP hex	ip dec	edf.zone	edf.rev	ipmc command
3021	eth0	80D336013DCC	80:D3:36:01:3D:CC	host apollo3021-0 {hardware ethernet 80:D3:36:01:3D:CC; fixed-address apollo3021-0.edf.lo;}	C0A8243C	192.168.36.60	apollo3021-0 IN A 192.168.36.60	60 IN PTR apollo3021-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D CC
	eth1	80D336013DCD	80:D3:36:01:3D:CD	host apollo3021-1 {hardware ethernet 80:D3:36:01:3D:CD; fixed-address apollo3021-1.edf.lo;}	C0A8243D	192.168.36.61	apollo3021-1 IN A 192.168.36.61	61 IN PTR apollo3021-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D CD
	ipmc	80D336013DCE	80:D3:36:01:3D:CE	host ipmc3021 {hardware ethernet 80:D3:36:01:3D:CE; fixed-address ipmc3021.edf.lo;}	C0A8243E	192.168.36.62	ipmc3021 IN A 192.168.36.62	62 IN PTR ipmc3021.edf.lo.	ethmacwr 2 80 D3 36 01 3D CE
3022	eth0	80D336013DCF	80:D3:36:01:3D:CF	host apollo3022-0 {hardware ethernet 80:D3:36:01:3D:CF; fixed-address apollo3022-0.edf.lo;}	C0A8243F	192.168.36.63	apollo3022-0 IN A 192.168.36.63	63 IN PTR apollo3022-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D CF
	eth1	80D336013DD0	80:D3:36:01:3D:D0	host apollo3022-1 {hardware ethernet 80:D3:36:01:3D:D0; fixed-address apollo3022-1.edf.lo;}	C0A82440	192.168.36.64	apollo3022-1 IN A 192.168.36.64	64 IN PTR apollo3022-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D D0
	ipmc	80D336013DD1	80:D3:36:01:3D:D1	host ipmc3022 {hardware ethernet 80:D3:36:01:3D:D1; fixed-address ipmc3022.edf.lo;}	C0A82441	192.168.36.65	ipmc3022 IN A 192.168.36.65	65 IN PTR ipmc3022.edf.lo.	ethmacwr 2 80 D3 36 01 3D D1
3023	eth0	80D336013DD2	80:D3:36:01:3D:D2	host apollo3023-0 {hardware ethernet 80:D3:36:01:3D:D2; fixed-address apollo3023-0.edf.lo;}	C0A82442	192.168.36.66	apollo3023-0 IN A 192.168.36.66	66 IN PTR apollo3023-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D D2
	eth1	80D336013DD3	80:D3:36:01:3D:D3	host apollo3023-1 {hardware ethernet 80:D3:36:01:3D:D3; fixed-address apollo3023-1.edf.lo;}	C0A82443	192.168.36.67	apollo3023-1 IN A 192.168.36.67	67 IN PTR apollo3023-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D D3
	ipmc	80D336013DD4	80:D3:36:01:3D:D4	host ipmc3023 {hardware ethernet 80:D3:36:01:3D:D4; fixed-address ipmc3023.edf.lo;}	C0A82444	192.168.36.68	ipmc3023 IN A 192.168.36.68	68 IN PTR ipmc3023.edf.lo.	ethmacwr 2 80 D3 36 01 3D D4
3024	eth0	80D336013DD5	80:D3:36:01:3D:D5	host apollo3024-0 {hardware ethernet 80:D3:36:01:3D:D5; fixed-address apollo3024-0.edf.lo;}	C0A82445	192.168.36.69	apollo3024-0 IN A 192.168.36.69	69 IN PTR apollo3024-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D D5
	eth1	80D336013DD6	80:D3:36:01:3D:D6	host apollo3024-1 {hardware ethernet 80:D3:36:01:3D:D6; fixed-address apollo3024-1.edf.lo;}	C0A82446	192.168.36.70	apollo3024-1 IN A 192.168.36.70	70 IN PTR apollo3024-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D D6
	ipmc	80D336013DD7	80:D3:36:01:3D:D7	host ipmc3024 {hardware ethernet 80:D3:36:01:3D:D7; fixed-address ipmc3024.edf.lo;}	C0A82447	192.168.36.71	ipmc3024 IN A 192.168.36.71	71 IN PTR ipmc3024.edf.lo.	ethmacwr 2 80 D3 36 01 3D D7
Atlas		mac single hex	mac proper	dhcpd.apollo	IP hex	ip dec	edf.zone	edf.rev	ipmc command
3025	eth0	80D336006200	80:D3:36:00:62:00	host apollo3025-0 {hardware ethernet 80:D3:36:00:62:00; fixed-address apollo3025-0.edf.lo;}	C0A82448	192.168.36.72	apollo3025-0 IN A 192.168.36.72	72 IN PTR apollo3025-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 00
	eth1	80D336006201	80:D3:36:00:62:01	host apollo3025-1 {hardware ethernet 80:D3:36:00:62:01; fixed-address apollo3025-1.edf.lo;}	C0A82449	192.168.36.73	apollo3025-1 IN A 192.168.36.73	73 IN PTR apollo3025-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 01
	ipmc	80D336006301	80:D3:36:00:63:01	host ipmc3025 {hardware ethernet 80:D3:36:00:63:01; fixed-address ipmc3025.edf.lo;}	C0A8244A	192.168.36.74	ipmc3025 IN A 192.168.36.74	74 IN PTR ipmc3025.edf.lo.	ethmacwr 2 80 D3 36 00 63 01
3026	eth0	80D336006202	80:D3:36:00:62:02	host apollo3026-0 {hardware ethernet 80:D3:36:00:62:02; fixed-address apollo3026-0.edf.lo;}	C0A8244B	192.168.36.75	apollo3026-0 IN A 192.168.36.75	75 IN PTR apollo3026-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 02
	eth1	80D336006203	80:D3:36:00:62:03	host apollo3026-1 {hardware ethernet 80:D3:36:00:62:03; fixed-address apollo3026-1.edf.lo;}	C0A8244C	192.168.36.76	apollo3026-1 IN A 192.168.36.76	76 IN PTR apollo3026-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 03
	ipmc	80D336006302	80:D3:36:00:63:02	host ipmc3026 {hardware ethernet 80:D3:36:00:63:02; fixed-address ipmc3026.edf.lo;}	C0A8244D	192.168.36.77	ipmc3026 IN A 192.168.36.77	77 IN PTR ipmc3026.edf.lo.	ethmacwr 2 80 D3 36 00 63 02
3027	eth0	80D336006204	80:D3:36:00:62:04	host apollo3027-0 {hardware ethernet 80:D3:36:00:62:04; fixed-address apollo3027-0.edf.lo;}	C0A8244E	192.168.36.78	apollo3027-0 IN A 192.168.36.78	78 IN PTR apollo3027-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 04
	eth1	80D336006205	80:D3:36:00:62:05	host apollo3027-1 {hardware ethernet 80:D3:36:00:62:05; fixed-address apollo3027-1.edf.lo;}	C0A8244F	192.168.36.79	apollo3027-1 IN A 192.168.36.79	79 IN PTR apollo3027-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 05
	ipmc	80D336006303	80:D3:36:00:63:03	host ipmc3027 {hardware ethernet 80:D3:36:00:63:03; fixed-address ipmc3027.edf.lo;}	C0A82450	192.168.36.80	ipmc3027 IN A 192.168.36.80	80 IN PTR ipmc3027.edf.lo.	ethmacwr 2 80 D3 36 00 63 03
3028	eth0	80D336006206	80:D3:36:00:62:06	host apollo3028-0 {hardware ethernet 80:D3:36:00:62:06; fixed-address apollo3028-0.edf.lo;}	C0A82451	192.168.36.81	apollo3028-0 IN A 192.168.36.81	81 IN PTR apollo3028-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 06
	eth1	80D336006207	80:D3:36:00:62:07	host apollo3028-1 {hardware ethernet 80:D3:36:00:62:07; fixed-address apollo3028-1.edf.lo;}	C0A82452	192.168.36.82	apollo3028-1 IN A 192.168.36.82	82 IN PTR apollo3028-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 07
	ipmc	80D336006304	80:D3:36:00:63:04	host ipmc3028 {hardware ethernet 80:D3:36:00:63:04; fixed-address ipmc3028.edf.lo;}	C0A82453	192.168.36.83	ipmc3028 IN A 192.168.36.83	83 IN PTR ipmc3028.edf.lo.	ethmacwr 2 80 D3 36 00 63 04
3029	eth0	80D336006208	80:D3:36:00:62:08	host apollo3029-0 {hardware ethernet 80:D3:36:00:62:08; fixed-address apollo3029-0.edf.lo;}	C0A82454	192.168.36.84	apollo3029-0 IN A 192.168.36.84	84 IN PTR apollo3029-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 08
	eth1	80D336006209	80:D3:36:00:62:09	host apollo3029-1 {hardware ethernet 80:D3:36:00:62:09; fixed-address apollo3029-1.edf.lo;}	C0A82455	192.168.36.85	apollo3029-1 IN A 192.168.36.85	85 IN PTR apollo3029-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 09
	ipmc	80D336006305	80:D3:36:00:63:05	host ipmc3029 {hardware ethernet 80:D3:36:00:63:05; fixed-address ipmc3029.edf.lo;}	C0A82456	192.168.36.86	ipmc3029 IN A 192.168.36.86	86 IN PTR ipmc3029.edf.lo.	ethmacwr 2 80 D3 36 00 63 05
3030	eth0	80D33600620A	80:D3:36:00:62:0A	host apollo3030-0 {hardware ethernet 80:D3:36:00:62:0A; fixed-address apollo3030-0.edf.lo;}	C0A82457	192.168.36.87	apollo3030-0 IN A 192.168.36.87	87 IN PTR apollo3030-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 0A
	eth1	80D33600620B	80:D3:36:00:62:0B	host apollo3030-1 {hardware ethernet 80:D3:36:00:62:0B; fixed-address apollo3030-1.edf.lo;}	C0A82458	192.168.36.88	apollo3030-1 IN A 192.168.36.88	88 IN PTR apollo3030-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 0B
	ipmc	80D336006306	80:D3:36:00:63:06	host ipmc3030 {hardware ethernet 80:D3:36:00:63:06; fixed-address ipmc3030.edf.lo;}	C0A82459	192.168.36.89	ipmc3030 IN A 192.168.36.89	89 IN PTR ipmc3030.edf.lo.	ethmacwr 2 80 D3 36 00 63 06
3031	eth0	80D33600620C	80:D3:36:00:62:0C	host apollo3031-0 {hardware ethernet 80:D3:36:00:62:0C; fixed-address apollo3031-0.edf.lo;}	C0A8245A	192.168.36.90	apollo3031-0 IN A 192.168.36.90	90 IN PTR apollo3031-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 0C
	eth1	80D33600620D	80:D3:36:00:62:0D	host apollo3031-1 {hardware ethernet 80:D3:36:00:62:0D; fixed-address apollo3031-1.edf.lo;}	C0A8245B	192.168.36.91	apollo3031-1 IN A 192.168.36.91	91 IN PTR apollo3031-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 0D
	ipmc	80D336006307	80:D3:36:00:63:07	host ipmc3031 {hardware ethernet 80:D3:36:00:63:07; fixed-address ipmc3031.edf.lo;}	C0A8245C	192.168.36.92	ipmc3031 IN A 192.168.36.92	92 IN PTR ipmc3031.edf.lo.	ethmacwr 2 80 D3 36 00 63 07
3032	eth0	80D33600620E	80:D3:36:00:62:0E	host apollo3032-0 {hardware ethernet 80:D3:36:00:62:0E; fixed-address apollo3032-0.edf.lo;}	C0A8245D	192.168.36.93	apollo3032-0 IN A 192.168.36.93	93 IN PTR apollo3032-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 0E
	eth1	80D33600620F	80:D3:36:00:62:0F	host apollo3032-1 {hardware ethernet 80:D3:36:00:62:0F; fixed-address apollo3032-1.edf.lo;}	C0A8245E	192.168.36.94	apollo3032-1 IN A 192.168.36.94	94 IN PTR apollo3032-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 0F
	ipmc	80D336006308	80:D3:36:00:63:08	host ipmc3032 {hardware ethernet 80:D3:36:00:63:08; fixed-address ipmc3032.edf.lo;}	C0A8245F	192.168.36.95	ipmc3032 IN A 192.168.36.95	95 IN PTR ipmc3032.edf.lo.	ethmacwr 2 80 D3 36 00 63 08
3033	eth0	80D336006210	80:D3:36:00:62:10	host apollo3033-0 {hardware ethernet 80:D3:36:00:62:10; fixed-address apollo3033-0.edf.lo;}	C0A82460	192.168.36.96	apollo3033-0 IN A 192.168.36.96	96 IN PTR apollo3033-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 10
	eth1	80D336006211	80:D3:36:00:62:11	host apollo3033-1 {hardware ethernet 80:D3:36:00:62:11; fixed-address apollo3033-1.edf.lo;}	C0A82461	192.168.36.97	apollo3033-1 IN A 192.168.36.97	97 IN PTR apollo3033-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 11
	ipmc	80D336006309	80:D3:36:00:63:09	host ipmc3033 {hardware ethernet 80:D3:36:00:63:09; fixed-address ipmc3033.edf.lo;}	C0A82462	192.168.36.98	ipmc3033 IN A 192.168.36.98	98 IN PTR ipmc3033.edf.lo.	ethmacwr 2 80 D3 36 00 63 09
3034	eth0	80D336006212	80:D3:36:00:62:12	host apollo3034-0 {hardware ethernet 80:D3:36:00:62:12; fixed-address apollo3034-0.edf.lo;}	C0A82463	192.168.36.99	apollo3034-0 IN A 192.168.36.99	99 IN PTR apollo3034-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 12
	eth1	80D336006213	80:D3:36:00:62:13	host apollo3034-1 {hardware ethernet 80:D3:36:00:62:13; fixed-address apollo3034-1.edf.lo;}	C0A82464	192.168.36.100	apollo3034-1 IN A 192.168.36.100	100 IN PTR apollo3034-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 13
	ipmc	80D33600630A	80:D3:36:00:63:0A	host ipmc3034 {hardware ethernet 80:D3:36:00:63:0A; fixed-address ipmc3034.edf.lo;}	C0A82465	192.168.36.101	ipmc3034 IN A 192.168.36.101	101 IN PTR ipmc3034.edf.lo.	ethmacwr 2 80 D3 36 00 63 0A
3035	eth0	80D336006214	80:D3:36:00:62:14	host apollo3035-0 {hardware ethernet 80:D3:36:00:62:14; fixed-address apollo3035-0.edf.lo;}	C0A82466	192.168.36.102	apollo3035-0 IN A 192.168.36.102	102 IN PTR apollo3035-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 14
	eth1	80D336006215	80:D3:36:00:62:15	host apollo3035-1 {hardware ethernet 80:D3:36:00:62:15; fixed-address apollo3035-1.edf.lo;}	C0A82467	192.168.36.103	apollo3035-1 IN A 192.168.36.103	103 IN PTR apollo3035-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 15
	ipmc	80D33600630B	80:D3:36:00:63:0B	host ipmc3035 {hardware ethernet 80:D3:36:00:63:0B; fixed-address ipmc3035.edf.lo;}	C0A82468	192.168.36.104	ipmc3035 IN A 192.168.36.104	104 IN PTR ipmc3035.edf.lo.	ethmacwr 2 80 D3 36 00 63 0B
3036	eth0	80D336006216	80:D3:36:00:62:16	host apollo3036-0 {hardware ethernet 80:D3:36:00:62:16; fixed-address apollo3036-0.edf.lo;}	C0A82469	192.168.36.105	apollo3036-0 IN A 192.168.36.105	105 IN PTR apollo3036-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 16
	eth1	80D336006217	80:D3:36:00:62:17	host apollo3036-1 {hardware ethernet 80:D3:36:00:62:17; fixed-address apollo3036-1.edf.lo;}	C0A8246A	192.168.36.106	apollo3036-1 IN A 192.168.36.106	106 IN PTR apollo3036-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 17
	ipmc	80D33600630C	80:D3:36:00:63:0C	host ipmc3036 {hardware ethernet 80:D3:36:00:63:0C; fixed-address ipmc3036.edf.lo;}	C0A8246B	192.168.36.107	ipmc3036 IN A 192.168.36.107	107 IN PTR ipmc3036.edf.lo.	ethmacwr 2 80 D3 36 00 63 0C
3037	eth0	80D336006218	80:D3:36:00:62:18	host apollo3037-0 {hardware ethernet 80:D3:36:00:62:18; fixed-address apollo3037-0.edf.lo;}	C0A8246C	192.168.36.108	apollo3037-0 IN A 192.168.36.108	108 IN PTR apollo3037-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 18
	eth1	80D336006219	80:D3:36:00:62:19	host apollo3037-1 {hardware ethernet 80:D3:36:00:62:19; fixed-address apollo3037-1.edf.lo;}	C0A8246D	192.168.36.109	apollo3037-1 IN A 192.168.36.109	109 IN PTR apollo3037-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 19
	ipmc	80D33600630D	80:D3:36:00:63:0D	host ipmc3037 {hardware ethernet 80:D3:36:00:63:0D; fixed-address ipmc3037.edf.lo;}	C0A8246E	192.168.36.110	ipmc3037 IN A 192.168.36.110	110 IN PTR ipmc3037.edf.lo.	ethmacwr 2 80 D3 36 00 63 0D
3038	eth0	80D33600621A	80:D3:36:00:62:1A	host apollo3038-0 {hardware ethernet 80:D3:36:00:62:1A; fixed-address apollo3038-0.edf.lo;}	C0A8246F	192.168.36.111	apollo3038-0 IN A 192.168.36.111	111 IN PTR apollo3038-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 1A
	eth1	80D33600621B	80:D3:36:00:62:1B	host apollo3038-1 {hardware ethernet 80:D3:36:00:62:1B; fixed-address apollo3038-1.edf.lo;}	C0A82470	192.168.36.112	apollo3038-1 IN A 192.168.36.112	112 IN PTR apollo3038-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 1B
	ipmc	80D33600630E	80:D3:36:00:63:0E	host ipmc3038 {hardware ethernet 80:D3:36:00:63:0E; fixed-address ipmc3038.edf.lo;}	C0A82471	192.168.36.113	ipmc3038 IN A 192.168.36.113	113 IN PTR ipmc3038.edf.lo.	ethmacwr 2 80 D3 36 00 63 0E
3039	eth0	80D33600621C	80:D3:36:00:62:1C	host apollo3039-0 {hardware ethernet 80:D3:36:00:62:1C; fixed-address apollo3039-0.edf.lo;}	C0A82472	192.168.36.114	apollo3039-0 IN A 192.168.36.114	114 IN PTR apollo3039-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 1C
	eth1	80D33600621D	80:D3:36:00:62:1D	host apollo3039-1 {hardware ethernet 80:D3:36:00:62:1D; fixed-address apollo3039-1.edf.lo;}	C0A82473	192.168.36.115	apollo3039-1 IN A 192.168.36.115	115 IN PTR apollo3039-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 1D
	ipmc	80D33600630F	80:D3:36:00:63:0F	host ipmc3039 {hardware ethernet 80:D3:36:00:63:0F; fixed-address ipmc3039.edf.lo;}	C0A82474	192.168.36.116	ipmc3039 IN A 192.168.36.116	116 IN PTR ipmc3039.edf.lo.	ethmacwr 2 80 D3 36 00 63 0F
3040	eth0	80D33600621E	80:D3:36:00:62:1E	host apollo3040-0 {hardware ethernet 80:D3:36:00:62:1E; fixed-address apollo3040-0.edf.lo;}	C0A82475	192.168.36.117	apollo3040-0 IN A 192.168.36.117	117 IN PTR apollo3040-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 1E
	eth1	80D33600621F	80:D3:36:00:62:1F	host apollo3040-1 {hardware ethernet 80:D3:36:00:62:1F; fixed-address apollo3040-1.edf.lo;}	C0A82476	192.168.36.118	apollo3040-1 IN A 192.168.36.118	118 IN PTR apollo3040-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 1F
	ipmc	80D336006310	80:D3:36:00:63:10	host ipmc3040 {hardware ethernet 80:D3:36:00:63:10; fixed-address ipmc3040.edf.lo;}	C0A82477	192.168.36.119	ipmc3040 IN A 192.168.36.119	119 IN PTR ipmc3040.edf.lo.	ethmacwr 2 80 D3 36 00 63 10